lon,lat
-72.82929,44.64394
-72.6874,44.46543
-72.92784,43.09062
-72.85595,44.11201
-72.53954,43.66507
-73.32928,41.84371
-72.89036,41.5824
-72.71204,41.51732
-72.97517,41.87932
-73.209,41.54454
-79.34374,39.55519
-74.14358,41.08862
-74.48155,41.18714
-74.50512,41.19076
-73.45291,44.69949
-74.48987,42.14426
-74.46406,44.22395
-77.03342,43.2237
-77.39915,42.72979
-78.68475,42.64423
-73.52503,42.17924
-75.91076,43.97478
-73.98597,43.69784
-76.19437,42.51063
-73.77623,43.49674
-78.67281,42.27506
-74.68933,41.65565
-78.68944,42.27316
-74.21875,42.2137
-78.69204,42.68098
-76.02853,42.71201
-74.38221,41.26385
-74.97348,43.71009
-79.62996,42.02085
-74.56976,42.30019
-74.47601,43.16545
-76.10937,42.79812
-75.41116,43.66825
-77.85333,42.47784
-73.94406,40.82793
-73.60483,41.51326
-74.2949,44.84866
-75.96955,42.82905
-73.64401,43.30952
-73.48873,43.13745
-73.81544,44.38861
-74.25209,42.30731
-75.38295,43.30563
-75.22561,41.11333
-75.55519,40.51593
-78.44974,40.29674
-75.61019,40.80148
-79.74949,40.50035
-75.30573,41.03981
-75.97465,40.95842
-75.49213,41.71675
-75.37796,40.10677
-75.59269,41.09259
-79.23753,40.24313
-77.38304,39.74926
-80.13172,41.87422
-79.2977,40.02298
-75.18129,40.99954
-75.08448,41.47648
-78.02056,41.77479
-76.85969,40.13509
-75.46379,40.25621
-77.2922,41.59507
-75.66292,41.35124
-77.74945,40.76386
-77.90333,39.82787
-85.59052,34.57953
-83.33321,34.98759
-81.67761,36.13513
-83.09764,35.51816
-83.00292,35.10704
-81.889,36.21096
-81.86011,36.12735
-82.5493,35.8265
-83.51016,35.71426
-78.76462,38.81435
-78.7378,38.40957
-79.83159,37.9994
-78.89947,37.88486
-79.46477,39.12872
-80.72091,40.06396
-79.99752,38.41323
-79.46477,39.12872
-81.11482,37.61706
-90.42902,42.41667
-88.07479,41.80114
-88.29425,42.16558
-90.71764,41.4392
-88.18563,41.99503
-86.46832,38.55617
-84.84995,39.09089
-95.85807,41.365
-93.88023,42.0597
-93.53345,41.58926
-90.81863,42.51633
-87.66764,46.48855
-83.48569,42.6593
-84.12276,43.52503
-90.05295,46.48134
-85.69641,42.46059
-90.05295,46.48134
-84.992,45.43168
-84.91616,45.16806
-85.40116,44.25195
-85.50125,43.05411
-85.01394,45.21668
-85.94397,44.52028
-84.30557,44.8839
-85.62063,44.76306
-85.98885,44.89773
-89.93989,46.47523
-87.3956,46.54758
-88.56942,47.12113
-88.01118,47.37549
-83.78022,42.52948
-85.66615,44.76881
-83.62773,42.79197
-85.2584,45.31806
-90.17101,46.45467
-86.22839,43.06307
-87.90374,45.7869
-84.992,45.43168
-84.67475,45.02751
-85.56003,43.12003
-84.95533,45.37334
-83.41929,42.73512
-88.06596,45.82023
-89.57252,46.82994
-85.21117,44.98028
-88.64235,46.09273
-84.79947,44.01919
-85.79887,41.90429
-85.87946,42.36087
-84.58922,45.03307
-92.7907,44.85447
-95.69627,45.77791
-93.27772,44.76774
-94.88585,47.48754
-92.10049,46.78667
-92.03823,44.37101
-95.84533,46.81718
-92.34018,47.53298
-93.29828,44.8408
-90.6748,47.64694
-93.42771,47.28883
-93.9994,44.16358
-94.29721,45.31255
-94.28861,46.52052
-92.09598,46.81353
-92.73853,44.5683
-92.65243,45.40191
-90.6629,38.58283
-94.90163,39.41111
-100.4457,48.82723
-97.91815,48.92333
-100.88958,46.82666
-81.33789,41.52227
-81.55262,41.24117
-83.75966,40.36116
-82.51545,40.75839
-81.24087,41.67484
-103.81039,44.30858
-96.66455,43.578
-103.8352,44.32748
-88.4051,42.78529
-88.22204,43.1339
-92.75687,44.97469
-89.50429,43.09722
-90.84126,44.45107
-89.41208,45.63662
-89.46262,43.53915
-91.27321,45.45691
-89.77096,43.62748
-88.03842,42.88863
-89.74429,43.47109
-88.18343,43.42528
-89.63012,44.95914
-88.22167,43.23644
-87.80731,44.27638
-88.49927,43.11167
-89.02392,45.20792
-87.50314,44.45833
-88.252,45.92242
-88.28621,43.33361
-92.10408,46.72077
-88.43343,42.59168
-90.81824,46.81077
-91.23958,43.80136
-88.49205,44.6111
-89.18964,44.11218
-87.97704,43.74861
-90.03513,44.54052
-89.57456,44.52358
-88.22899,43.52083
-91.29326,46.20794
-88.01983,44.51916
-92.63354,45.35607
-89.73846,43.00861
-90.24601,46.428
-90.68836,44.01272
-88.18251,42.51304
